"team_name","international_prestige","offensive_style","defensive_style"
"Real Madrid",10,"Possession","Balanced"
"FC Bayern München",10,"Possession","Pressure On Heavy Touch"
"Juventus",10,"Possession","Pressure On Heavy Touch"
"FC Barcelona",10,"Possession","Balanced"
"Liverpool",10,"Balanced","Press After Possession Loss"
"Club América",9,"Possession","Pressure On Heavy Touch"
"River Plate",9,"Balanced","Press After Possession Loss"
"Boca Juniors",9,"Long Ball","Press After Possession Loss"
"Monterrey",9,"Long Ball","Pressure On Heavy Touch"
"Manchester City",9,"Possession","Press After Possession Loss"
"Atlético Madrid",9,"Balanced","Pressure On Heavy Touch"
"Paris Saint-Germain",9,"Possession","Pressure On Heavy Touch"
"Atlético Nacional",9,"Balanced","Balanced"
"Guadalajara",8,"Balanced","Balanced"
"Independiente",8,"Balanced","Balanced"
"Grêmio",8,"Balanced","Pressure On Heavy Touch"
"Olimpia Asunción",8,"Balanced","Balanced"
"San Lorenzo de Almagro",8,"Balanced","Balanced"
"Borussia Dortmund",8,"Balanced","Balanced"
"Santos",8,"Balanced","Press After Possession Loss"
"Millonarios FC",8,"Balanced","Balanced"
"Shakhtar Donetsk",7,"Balanced","Pressure On Heavy Touch"
"Arsenal",7,"Balanced","Balanced"
"Pachuca",7,"Balanced","Balanced"
"Inter",7,"Balanced","Pressure On Heavy Touch"
"Flamengo",7,"Balanced","Pressure On Heavy Touch"
"Milan",7,"Balanced","Balanced"
"SL Benfica",7,"Balanced","Pressure On Heavy Touch"
"Roma",7,"Balanced","Balanced"
"RB Leipzig",7,"Balanced","Press After Possession Loss"
"Racing Club",7,"Balanced","Press After Possession Loss"
"Al Ahli",7,"Balanced","Pressure On Heavy Touch"
"Club Atlético Lanús",7,"Balanced","Balanced"
"Vélez Sarsfield",7,"Possession","Press After Possession Loss"
"Estudiantes de La Plata",7,"Balanced","Balanced"
"Villarreal CF",7,"Balanced","Balanced"
"Tottenham Hotspur",7,"Balanced","Drop Back"
"Guangzhou Evergrande Taobao FC",7,"Balanced","Balanced"
"Sevilla FC",7,"Balanced","Pressure On Heavy Touch"
"Atlético Mineiro",7,"Balanced","Press After Possession Loss"
"Manchester United",7,"Balanced","Pressure On Heavy Touch"
"Tigres U.A.N.L.",7,"Possession","Balanced"
"PFC CSKA Moscow",7,"Balanced","Balanced"
"Ajax",7,"Possession","Press After Possession Loss"
"FC Porto",7,"Balanced","Pressure On Heavy Touch"
"Beşiktaş JK",7,"Balanced","Pressure On Heavy Touch"
"Napoli",7,"Balanced","Balanced"
"Chelsea",7,"Possession","Balanced"
"Galatasaray SK",7,"Balanced","Pressure On Heavy Touch"
"Al Hilal",7,"Balanced","Press After Possession Loss"
